     JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16289.582,    -0.562737,     0.991396,      1.96565
       16289.604,      2.24834,     0.937565,      1.88140
       16289.619,      2.32767,      1.03774,      1.70261
       16290.519,      1.54370,     0.974317,      1.22396
       16290.560,      2.76193,     0.925485,     0.992594
       16290.582,     0.578341,     0.929738,     0.688054
       16290.642,     0.938429,     0.904188,     0.504490
       16291.519,     0.305303,     0.909326,     0.145565
       16291.557,    -0.389789,     0.945710,    -0.310632
       16291.642,      1.60320,      1.03071,    -0.805947
       16295.589,     -3.78579,      1.10491,     -1.45413
       16295.613,     -2.58193,      1.17960,     -1.77722
       16295.636,     -1.69984,      1.15333,     -1.95103
       16296.533,     -2.69050,     0.925522,     -2.11515
       16296.545,     -3.90476,      1.00768,     -2.25110
       16296.574,     -4.36808,      1.05541,     -2.62931
       16296.589,     -2.97565,      1.05068,     -2.38133
       16297.526,    -0.973464,      1.05505,     -2.38735
       16297.564,     -1.50006,     0.939892,     -2.46325
       16298.527,     -1.88519,      1.04345,     -2.46219
       16298.587,     -2.55710,     0.906520,     -2.34108
       16298.608,     -1.05799,     0.995721,     -2.17250
       16298.622,     -2.64820,     0.899259,     -1.86181
       16299.531,     -2.53476,      1.00572,     -1.81387
       16299.563,     -2.67884,     0.980566,     -1.77143
       16299.591,     -2.57258,     0.956745,     -1.79186
       16299.618,     -2.51363,      1.04489,     -2.04723
       16304.529,     0.441877,      1.06615,     -2.30964
       16304.556,    -0.446044,      1.12188,     -2.09291
       16304.592,     -1.03322,      1.09330,     -2.00478
       16304.605,     -2.10999,      1.14998,     -1.96868
       16305.530,     -5.36614,      1.15060,     -1.95690
       16305.552,     -3.94454,      1.17947,     -1.68123
       16305.574,    -0.264144,      1.19540,     -1.64035
       16307.531,     -1.56533,      1.12426,     -1.73371
       16307.555,     -2.28173,      1.12149,     -1.55582
       16307.579,     -2.44298,      1.15668,     -1.31692
       16308.522,     0.518711,      1.12709,    -0.638666
       16308.543,     0.891558,      1.15997,    -0.401648
       16309.528,     -1.47303,      1.02005,    -0.295867
       16309.550,     0.923616,      1.04395,   -0.0138650
       16310.540,     0.517946,      1.10698,     0.290226
       16310.561,      2.09460,      1.11189,     0.482356
       16311.528,     -1.33734,      1.48506,     0.367093
       16311.553,     0.899438,      1.16883,     0.289466
       16311.576,      1.53670,      1.22344,     0.423448
       16312.535,      1.06327,      1.10667,     0.303258
       16312.570,    -0.329558,      1.22685,     0.166018
       16314.543,    -0.749178,      1.11575,   -0.0411063
       16314.554,    0.0376620,      1.14959,     0.356388
       16314.574,  0.000765800,      1.11766,     0.698563
       16316.536,    -0.398466,      1.09462,     0.751033
       16316.547,    -0.991698,      1.01053,     0.913296
       16316.572,    -0.183764,      1.02876,      1.11807
       16316.583,      3.03510,     0.979652,      1.39083
