     JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s] 
       16545.761,     -1.21259,      1.15959,     -2.24562
       16545.835,     -1.52937,      1.02444,     -2.42220
       16545.926,     -4.61247,      1.05723,     -2.32766
       16546.676,    -0.760554,      1.08792,     -2.09418
       16546.751,     -2.25461,      1.07899,     -2.08805
       16546.868,     -3.48222,      1.21981,     -2.04236
       16546.925,     -5.43479,      1.10404,     -2.02093
       16547.826,     -2.24233,      1.19152,     -2.07492
       16547.865,     -1.05338,      1.13989,     -1.64961
       16548.818,     -1.64049,      1.21193,     -1.62702
       16548.846,      1.75684,      1.31804,     -1.75518
       16550.657,    -0.976852,      1.12133,     -1.86585
       16550.692,     -2.12329,     0.970475,     -1.70162
       16550.720,    0.0659347,      1.01116,     -1.60989
       16550.744,    -0.512072,     0.993138,     -1.65451
       16550.768,     -3.66428,      1.11699,     -1.65925
       16551.642,     -4.69959,      1.03981,     -2.20319
       16551.722,     -3.62834,      1.06208,     -2.62763
       16551.777,     -1.23326,      1.22130,     -2.42911
       16551.911,     -1.54418,      1.05272,     -2.82381
       16554.655,     -1.69267,      1.06436,     -2.90793
       16554.729,     -4.22650,      1.15705,     -2.71031
       16554.834,     -5.64567,      1.08615,     -2.49349
       16555.666,    0.0603989,      1.14582,     -2.26234
       16555.714,     -4.27577,      1.22476,     -2.35704
       16556.635,     -1.43738,      1.03701,     -2.11144
       16556.650,     -1.49051,      1.14862,     -2.29189
       16556.852,     -2.31454,      1.14785,     -2.43654
       16556.866,     -1.08565,      1.17929,     -2.09080
       16557.629,     -2.27500,      1.14107,     -2.31301
       16557.643,      1.15740,      1.35198,     -2.17476
       16557.658,     -3.67757,      1.26259,     -2.07819
       16557.672,     -5.81762,      1.27696,     -1.91768
       16557.686,     -1.84253,      1.32359,     -1.84696
       16557.701,     -2.38398,      1.44767,     -1.75818
       16558.627,     -2.75493,      1.14054,     -1.87860
       16558.637,    -0.375199,      1.18620,     -2.22529
       16558.708,     0.275138,      1.21161,     -2.27735
       16558.715,     -1.53656,      1.19854,     -2.23137
       16558.808,    -0.109150,      1.38225,     -2.36863
       16558.817,     -3.59965,      1.44662,     -1.95646
       16558.834,     -2.65609,      1.14802,     -1.82901
       16558.844,     -4.25030,      1.30092,     -1.91070
       16559.634,     -5.31180,      1.30391,     -1.84725
       16559.642,     -3.35242,      1.19567,     -2.10126
       16559.689,      2.14986,      1.21300,     -2.72225
       16559.696,     -1.35292,      1.23713,     -2.56333
       16559.745,     -1.27380,      1.19707,     -2.27531
       16559.754,     0.973089,      1.23426,     -2.15376
       16559.766,     -4.33071,      1.19333,     -1.91128
       16559.774,     -6.94005,      1.21140,     -1.57688
       16560.627,     -1.85148,      1.37273,     -1.68972
       16560.634,     0.512064,      1.40687,     -1.85129
       16560.707,     -2.91324,      1.38328,     -1.93643
       16560.715,     -2.64450,      1.44345,     -2.09762
       16560.772,     0.326003,      2.10300,     -1.76244
       16560.786,     0.908582,      1.82378,     -1.28311
       16560.845,     -3.13011,      1.30590,     -1.20916
       16560.853,     -2.21042,      1.45080,     -1.27109
       16561.603,    -0.799941,      1.10979,     -1.40814
       16561.614,    -0.643779,      1.15506,     -1.18575
       16561.800,     -1.66733,      1.23557,     -1.31978
       16561.808,     -1.03806,      1.23762,     -1.50144
       16561.863,    -0.169210,      1.30242,     -1.06081
       16561.873,     -4.42077,      1.28215,    -0.967291
       16562.635,    -0.198171,      1.22058,     -1.09944
       16562.645,     -1.14842,      1.20357,     -1.22943
       16562.817,     -1.08964,      1.24263,     -1.33336
       16562.826,      1.71680,      1.41714,     -1.32154
       16562.903,     -1.18170,      1.26192,     -1.74918
       16562.914,     -2.25355,      1.21107,     -1.53300
       16563.607,     -2.07364,      1.15819,     -1.75141
       16563.618,     -2.81058,      1.11075,     -1.81405
       16563.654,    -0.908099,      1.12979,     -1.77111
       16563.661,     -4.87325,      1.03646,     -2.09515
       16563.746,     -2.04273,      1.19596,     -2.42175
       16563.755,     -2.60065,      1.21833,     -2.73803
       16563.884,     -1.83747,      1.17412,     -2.91585
       16563.893,    -0.617389,      1.14162,     -3.08633
       16564.674,     -1.84756,      1.27152,     -3.23058
       16564.736,     -4.77432,      1.18929,     -3.28073
       16564.743,     -5.73259,      1.26999,     -3.18115
       16564.801,     -4.02976,      1.29354,     -3.23902
       16564.809,     -4.68581,      1.23888,     -3.38150
       16565.621,     -2.49486,      1.31882,     -3.23426
       16565.631,     -5.42485,      1.33172,     -3.49772
       16565.706,    -0.947422,      1.28749,     -3.57793
       16565.713,     -3.23720,      1.28559,     -3.40009
       16567.688,     -3.40476,      1.22627,     -3.51064
       16567.702,      1.00229,      1.19712,     -3.17993
       16567.785,     -4.74562,      1.26687,     -3.60612
       16567.795,     -5.65669,      1.24778,     -3.38096
       16568.600,     -3.77626,      1.14613,     -3.43433
       16568.609,     -5.24583,      1.22718,     -3.46759
       16568.631,     -1.04798,      1.28263,     -3.34729
       16568.641,     -7.18294,      1.13343,     -3.72426
       16568.823,     -2.94815,      1.26783,     -3.97779
       16568.833,     -1.53454,      1.25013,     -3.84076
       16569.611,     -3.60299,      1.06217,     -3.66186
       16569.620,     -2.08146,      1.27344,     -3.43985
       16569.629,     -3.14437,      1.25721,     -3.85738
       16569.637,     -7.53452,      1.25529,     -3.98417
       16569.646,     -4.14931,      1.32803,     -3.36404
       16569.655,     -1.80836,      1.32760,     -3.42689
       16569.664,     -2.80377,      1.21648,     -3.44371
       16569.819,     -5.64074,      1.52097,     -3.44961
       16569.831,     -8.57763,      1.65067,     -3.55448
       16569.871,      3.87325,      1.37245,     -3.13998
       16569.884,     -2.22588,      1.33472,     -3.10212
       16570.618,     -3.78802,      1.21965,     -3.17160
       16570.629,     -2.14635,      1.25489,     -3.22936
       16570.668,     -4.29799,      1.19928,     -2.92332
       16570.689,     -2.97496,      1.21625,     -2.64399
       16572.614,     -3.73288,      1.17104,     -3.27091
       16572.636,     -2.57261,      1.19973,     -3.21269
       16572.696,     -3.43918,      1.11420,     -3.17628
       16572.707,     -2.27429,      1.26902,     -2.88609
       16572.738,     -5.50502,      1.27709,     -2.45496
       16572.749,     -3.02281,      1.23170,     -2.32839
       16573.619,     -1.58545,      1.33614,     -2.26959
       16573.650,     -3.38751,      1.28134,     -2.17349
       16575.582,      1.04567,      1.19147,     -1.80557
       16575.607,     0.444482,      1.19353,     -1.39518
       16577.578,     -1.58273,      1.10031,     -1.35672
       16577.608,     -3.08608,      1.22877,     -1.35322
       16577.618,     -1.51554,      1.22292,     -1.71571
       16578.540,     0.607967,      1.29357,     -1.78434
       16578.569,      2.24005,      1.12281,     -1.95151
       16580.695,     -5.08199,      1.12551,     -1.60847
       16580.715,     -2.98431,      1.13683,     -1.40284
       16581.718,     -5.57284,      1.12933,     -1.32372
       16581.749,     -4.14242,      1.18487,     -1.01555
       16582.547,    -0.793260,      1.16537,     -1.41238
       16582.574,      4.21793,      1.13529,     -1.44712
       16583.552,     0.679278,      1.11969,     -1.21965
       16583.582,     -2.21580,      1.28276,     -1.47384
       16584.734,      1.87437,      1.52410,     -1.21333
       16584.749,     -3.75723,      1.86717,     -1.01952
       16585.550,      1.85795,      1.17776,     -1.13194
       16585.575,     -2.57986,      1.13460,     -1.46882
       16591.736,     -5.78038,      1.17951,     -1.58825
       16591.761,     -2.70715,      1.26297,     -1.56921
       16592.538,     -2.01056,      1.20708,     -2.07347
       16592.566,     -2.02987,      1.13805,     -1.94547
       16594.518,     0.512265,      1.20847,     -2.29901
       16594.635,    -0.634482,      1.26059,     -2.25267
       16595.527,     -2.00630,      1.11245,     -1.97709
       16595.638,     -3.67257,      1.77188,     -1.99714
       16600.514,     -2.34921,      1.17695,     -1.95163
       16600.540,     -2.03096,      1.20880,     -1.79944
       16601.515,     -2.07020,      1.27135,     -2.25098
       16601.542,     -2.74900,      1.15798,     -2.70163
       16603.524,     -2.92767,      1.14698,     -2.65871
       16603.552,     -1.50996,      1.21767,     -2.52082
       16604.530,    -0.355703,      1.17774,     -2.63286
       16604.557,     -4.45467,      1.13085,     -2.89676
       16606.575,     -5.59165,      1.22769,     -2.94631
       16606.609,     -1.53419,      1.47156,     -2.79201
       16607.525,     -2.15584,      1.23783,     -2.23580
       16607.656,     -3.58165,      1.21185,     -2.17819 
