      JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16151.825,   -0.0534964,      1.01802,      1.70355
       16151.836,     0.555237,      1.01450,      1.67580
       16151.846,      2.43493,      1.00390,      1.32832
       16151.857,     0.813825,      1.01692,      1.49801
       16151.880,    -0.710804,     0.975530,      1.29578
       16151.901,      1.42017,      1.03763,     0.986594
       16151.912,      2.78114,     0.999496,      1.03702
       16151.933,      1.04028,      1.05206,     0.848589
       16158.829,      3.52775,      1.18535,     0.472397
       16158.840,     0.249301,      1.12337,    0.0955278
       16158.850,     -1.20580,      1.21386,    0.0164283
       16158.861,     0.501240,      1.12581,   -0.0799613
       16159.869,     -1.51755,      1.05050,    -0.167413
       16159.880,     -1.70319,     0.962068,    -0.120511
       16159.889,     -3.33173,      1.17346,    -0.283904
       16159.897,     -1.58090,      1.00034,    -0.970512
       16159.911,     0.359888,     0.978293,    -0.890156
       16159.927,      1.81918,     0.997824,    -0.723767
       16159.938,      1.55619,      1.04167,    -0.523385
       16159.948,      1.73043,      1.01828,  0.000192339
       16159.959,     -7.30339,      1.97610,    -0.247916
       16160.839,    -0.321878,      1.02953,     0.478599
       16160.847,      2.33152,      1.12156,     0.269073
       16160.883,     0.686649,      1.37119,     0.343655
       16160.893,      4.05616,      1.28607,     0.129193
       16160.902,     -6.06093,      1.17155,    0.0189426
       16160.913,      6.41077,      1.20021,     0.974324
       16164.837,     -1.94490,     0.913401,      1.20750
       16164.848,      2.63958,     0.977721,     0.764082
       16164.859,    -0.802896,     0.957684,     0.735089
       16164.869,     0.517680,     0.945212,     0.366930
       16164.926,      3.20581,      1.01681,     0.935730
       16164.937,      2.24302,      1.08035,     0.348150
       16164.948,     -2.54605,      1.06295,     0.508470
       16165.772,     0.367724,      1.00101,     0.386605
       16165.783,   0.00642151,     0.892428,     0.363021
       16165.794,     0.195875,     0.963281,     0.227589
       16165.804,   -0.0526114,     0.956522,    -0.335759
       16166.838,    -0.181378,      1.01012,    -0.530118
       16166.849,      1.29906,      1.15954,    -0.559049
       16166.860,     -1.06232,      1.15955,    -0.501765
       16166.870,    -0.972067,      1.22070,    -0.453420
       16166.927,     -2.99102,      1.13492,    -0.724128
       16166.938,     0.105066,      1.10361,    -0.454409
       16166.948,     -2.86428,      1.13822,    -0.828108
       16167.810,     0.997849,     0.955615,    -0.994584
       16167.821,     0.538211,      1.03104,    -0.920393
       16167.832,     -2.78191,      1.09223,    -0.999325
       16167.842,      2.91429,     0.898448,    -0.757309
       16168.836,     -4.29206,     0.950846,    -0.717935
       16168.847,    -0.532178,      1.05050,    -0.571400
       16168.857,    -0.246216,     0.997738,    -0.760804
       16168.868,     -1.84033,      1.02234,    -0.916503
       16168.924,    -0.328849,     0.967912,    -0.939993
       16168.935,     0.538184,      1.10325,     -1.33515
       16168.946,     -1.25240,      1.09060,    -0.883193
       16171.757,     -1.08560,     0.948361,    -0.786627
       16171.768,     -1.17448,      1.03250,    -0.759379
       16171.778,     -3.04030,     0.968667,    -0.673109
       16171.788,     -1.43238,     0.965592,     -1.17931
       16172.837,     0.679406,     0.982502,     -1.41842
       16172.848,     0.530057,     0.945536,     -1.53270
       16172.858,    0.0535110,      1.01703,     -1.51832
       16172.869,    -0.891355,     0.888544,     -1.65159
       16175.799,     -5.89711,     0.962193,     -1.63016
